TIP_ECOV,TIP_VEG,OTROS,DESCRIPCIO,HEMEROBIA
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,MATORRAL SUBTROPICAL,2
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,MEZQUITAL TROPICAL,2
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,MEZQUITAL XERÓFILO,2
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,PALMAR INDUCIDO,10
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,PALMAR NATURAL,2
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,PASTIZAL CULTIVADO,10
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,PASTIZAL GIPSÓFILO,2
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,PASTIZAL HALÓFILO,2
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,PASTIZAL INDUCIDO,10
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,PASTIZAL NATURAL,2
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,POPAL,2
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,PRADERA DE ALTA MONTAÑA,2
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,SABANA,2
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,SABANOIDE,8
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,SELVA ALTA PERENNIFOLIA,2
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,SELVA ALTA SUBPERENNIFOLIA,2
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,SELVA BAJA CADUCIFOLIA,2
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,SELVA BAJA ESPINOSA CADUCIFOLIA,2
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,SELVA BAJA ESPINOSA SUBPERENNIFOLIA,2
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,SELVA BAJA PERENNIFOLIA,2
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,SELVA BAJA SUBCADUCIFOLIA,2
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,SELVA BAJA SUBPERENNIFOLIA,2
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,SELVA DE GALERÍA,2
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,SELVA MEDIANA CADUCIFOLIA,2
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,SELVA MEDIANA SUBCADUCIFOLIA,2
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,SELVA MEDIANA SUBPERENNIFOLIA,2
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,SIN VEGETACIÓN APARENTE,0
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,TULAR,2
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACION SECUNDARIA ARBUSTIVA DE BOSQUE DE OYAMEL,7
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN DE DESIERTOS ARENOSOS,2
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN DE DUNAS COSTERAS,2
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN DE GALERÍA,2
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN DE PETÉN,2
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN GIPSÓFILA,2
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN HALÓFILA HIDRÓFILA,2
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN HALÓFILA XERÓFILA,2
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE BOSQUE DE AYARÍN,7
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE BOSQUE DE CEDRO,7
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE BOSQUE DE ENCINO,7
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE BOSQUE DE ENCINO-PINO,7
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE BOSQUE DE GALERÍA,7
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE BOSQUE DE MEZQUITE,7
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE BOSQUE DE PINO,7
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE BOSQUE DE PINO-ENCINO,7
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE BOSQUE DE TÁSCATE,7
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE BOSQUE MESÓFILO DE MONTAÑA,7
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE CHAPARRAL,7
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE MANGLAR,7
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE MATORRAL CRASICAULE,7
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE MATORRAL DESÉRTICO MICRÓFILO,7
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE MATORRAL DESÉRTICO ROSETÓFILO,7
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE MATORRAL ESPINOSO TAMAULIPECO,7
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE MATORRAL ROSETÓFILO COSTERO,7
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE MATORRAL SARCO-CRASICAULE,7
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE MATORRAL SARCO-CRASICAULE DE NEBLI,7
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE MATORRAL SARCOCAULE,7
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE MATORRAL SUBMONTANO,7
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE MATORRAL SUBTROPICAL,7
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE MEZQUITAL TROPICAL,7
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE MEZQUITAL XERÓFILO,7
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE PALMAR NATURAL,7
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE PASTIZAL GIPSÓFILO,7
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE PASTIZAL HALÓFILO,7
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE PASTIZAL NATURAL,7
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE SELVA ALTA PERENNIFOLIA,7
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE SELVA ALTA SUBPERENNIFOLIA,7
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE SELVA BAJA CADUCIFOLIA,7
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE SELVA BAJA ESPINOSA CADUCIFOLIA,7
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE SELVA BAJA ESPINOSA SUBPERENNIFOLI,7
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE SELVA BAJA PERENNIFOLIA,7
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE SELVA BAJA SUBCADUCIFOLIA,7
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE SELVA BAJA SUBPERENNIFOLIA,7
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE SELVA DE GALERÍA,7
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE SELVA MEDIANA CADUCIFOLIA,7
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE SELVA MEDIANA PERENNIFOLIA,7
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE SELVA MEDIANA SUBCADUCIFOLIA,7
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE SELVA MEDIANA SUBPERENNIFOLIA,7
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE VEGETACIÓN DE DESIERTOS ARENOSOS,7
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE VEGETACIÓN DE DUNAS COSTERAS,7
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE VEGETACIÓN DE GALERÍA,7
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE VEGETACIÓN HALÓFILA HIDRÓFILA,7
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA ARBUSTIVA DE VEGETACIÓN HALÓFILA XERÓFILA,7
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA ARBÓREA DE BOSQUE DE AYARÍN,5
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA ARBÓREA DE BOSQUE DE CEDRO,5
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA ARBÓREA DE BOSQUE DE ENCINO,5
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA ARBÓREA DE BOSQUE DE ENCINO-PINO,5
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA ARBÓREA DE BOSQUE DE GALERÍA,5
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA ARBÓREA DE BOSQUE DE MEZQUITE,5
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA ARBÓREA DE BOSQUE DE OYAMEL,5
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA ARBÓREA DE BOSQUE DE PINO,5
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA ARBÓREA DE BOSQUE DE PINO-ENCINO,5
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA ARBÓREA DE BOSQUE DE TÁSCATE,5
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA ARBÓREA DE BOSQUE MESÓFILO DE MONTAÑA,5
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA ARBÓREA DE MANGLAR,5
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA ARBÓREA DE MEZQUITAL TROPICAL,5
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA ARBÓREA DE PALMAR NATURAL,5
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA ARBÓREA DE SELVA ALTA PERENNIFOLIA,5
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA ARBÓREA DE SELVA ALTA SUBPERENNIFOLIA,5
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA ARBÓREA DE SELVA BAJA CADUCIFOLIA,5
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA ARBÓREA DE SELVA BAJA ESPINOSA CADUCIFOLIA,5
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA ARBÓREA DE SELVA BAJA ESPINOSA SUBPERENNIFOLIA,5
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA ARBÓREA DE SELVA BAJA PERENNIFOLIA,5
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA ARBÓREA DE SELVA BAJA SUBCADUCIFOLIA,5
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA ARBÓREA DE SELVA BAJA SUBPERENNIFOLIA,5
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA ARBÓREA DE SELVA DE GALERÍA,5
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA ARBÓREA DE SELVA MEDIANA CADUCIFOLIA,5
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA ARBÓREA DE SELVA MEDIANA SUBCADUCIFOLIA,5
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA ARBÓREA DE SELVA MEDIANA SUBPERENNIFOLIA,5
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA ARBÓREA DE VEGETACIÓN DE PETÉN,5
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA HERBÁCEA DE BOSQUE DE ENCINO,9
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA HERBÁCEA DE BOSQUE DE ENCINO-PINO,9
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA HERBÁCEA DE BOSQUE DE OYAMEL,9
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA HERBÁCEA DE BOSQUE DE PINO,9
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA HERBÁCEA DE BOSQUE DE PINO-ENCINO,9
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA HERBÁCEA DE BOSQUE DE TÁSCATE,9
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA HERBÁCEA DE BOSQUE MESÓFILO DE MONTAÑA,9
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA HERBÁCEA DE MANGLAR,9
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA HERBÁCEA DE MATORRAL CRASICAULE,9
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA HERBÁCEA DE MATORRAL DE CONIFERAS,9
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA HERBÁCEA DE MATORRAL DESÉRTICO MICRÓFILO,9
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA HERBÁCEA DE MATORRAL DESÉRTICO ROSETÓFILO,9
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA HERBÁCEA DE MATORRAL ESPINOSO TAMAULIPECO,9
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA HERBÁCEA DE MATORRAL ROSETÓFILO COSTERO,9
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA HERBÁCEA DE MATORRAL SARCO-CRASICAULE,9
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA HERBÁCEA DE MATORRAL SARCO-CRASICAULE DE NEBLI,9
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA HERBÁCEA DE PALMAR NATURAL,9
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA HERBÁCEA DE PASTIZAL NATURAL,9
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA HERBÁCEA DE SELVA ALTA PERENNIFOLIA,9
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA HERBÁCEA DE SELVA ALTA SUBPERENNIFOLIA,9
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA HERBÁCEA DE SELVA BAJA CADUCIFOLIA,9
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA HERBÁCEA DE SELVA BAJA ESPINOSA CADUCIFOLIA,9
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA HERBÁCEA DE SELVA BAJA ESPINOSA SUBPERENNIFOLI,9
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA HERBÁCEA DE SELVA MEDIANA CADUCIFOLIA,9
AREAS SIN VEGETACION APARENTE,Area Sin Vegetacion Aparente,No aplicable,VEGETACIÓN SECUNDARIA HERBÁCEA DE SELVA MEDIANA SUBCADUCIFOLIA,9
